region_index,image_id,image_path,annotation_id,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,attribute_ids
0,img_0671,data\raw\img_0671.jpg,2,9,coat,392.0,407.0,241.0,274.0,"[229, 295, 136, 137, 80, 145, 115, 85, 311, 317]"
1,img_0671,data\raw\img_0671.jpg,3,25,scarf,460.0,389.0,136.0,109.0,[]
2,img_0671,data\raw\img_0671.jpg,5,24,"bag, wallet",439.0,449.0,156.0,145.0,[]
3,img_0671,data\raw\img_0671.jpg,6,17,glove,442.0,618.0,50.0,55.0,[]
4,img_0671,data\raw\img_0671.jpg,7,17,glove,584.0,674.0,30.0,7.0,[]
5,img_0671,data\raw\img_0671.jpg,9,14,hat,476.0,349.0,82.0,50.0,[]
6,img_0463,data\raw\img_0463.jpg,11,9,coat,58.0,183.0,323.0,632.0,"[317, 86, 136, 153, 311, 289, 115, 145]"
7,img_0463,data\raw\img_0463.jpg,14,11,jumpsuit,164.0,250.0,127.0,653.0,"[316, 295, 155, 127, 115, 326, 141]"
8,img_0463,data\raw\img_0463.jpg,15,23,shoe,212.0,909.0,42.0,45.0,[]
9,img_0463,data\raw\img_0463.jpg,16,23,shoe,249.0,862.0,35.0,53.0,[]
10,img_0701,data\raw\img_0701.jpg,20,17,glove,335.0,361.0,82.0,47.0,[]
11,img_0701,data\raw\img_0701.jpg,21,17,glove,134.0,433.0,49.0,83.0,[]
12,img_0701,data\raw\img_0701.jpg,22,6,pants,228.0,444.0,185.0,476.0,"[316, 317, 142, 38, 135, 230, 154, 115]"
13,img_0701,data\raw\img_0701.jpg,23,9,coat,138.0,144.0,365.0,612.0,"[316, 317, 137, 152, 295, 115, 145]"
14,img_0701,data\raw\img_0701.jpg,24,24,"bag, wallet",352.0,275.0,84.0,100.0,[]
15,img_0701,data\raw\img_0701.jpg,25,1,"top, t-shirt, sweatshirt",259.0,307.0,197.0,141.0,"[317, 146, 295, 136, 115]"
16,img_0701,data\raw\img_0701.jpg,27,13,glasses,329.0,55.0,71.0,39.0,[]
17,img_0701,data\raw\img_0701.jpg,28,23,shoe,373.0,852.0,64.0,117.0,[]
18,img_0701,data\raw\img_0701.jpg,29,22,sock,373.0,847.0,53.0,111.0,[]
19,img_0701,data\raw\img_0701.jpg,30,23,shoe,252.0,907.0,60.0,106.0,[]
20,img_0701,data\raw\img_0701.jpg,31,22,sock,253.0,906.0,67.0,95.0,[]
21,img_0565,data\raw\img_0565.jpg,32,8,skirt,93.0,389.0,473.0,631.0,"[316, 317, 295, 120, 155, 115, 229, 141]"
22,img_0565,data\raw\img_0565.jpg,35,1,"top, t-shirt, sweatshirt",224.0,213.0,457.0,319.0,"[316, 146, 142, 295, 135, 325, 115]"
23,img_0565,data\raw\img_0565.jpg,36,15,"headband, head covering, hair accessory",224.0,23.0,428.0,435.0,[]
24,img_0006,data\raw\img_0006.jpg,37,23,shoe,210.0,907.0,65.0,68.0,[]
25,img_0006,data\raw\img_0006.jpg,38,23,shoe,276.0,796.0,58.0,133.0,[]
26,img_0006,data\raw\img_0006.jpg,39,6,pants,170.0,529.0,214.0,389.0,"[131, 317, 137, 316, 295, 46, 154, 115]"
27,img_0006,data\raw\img_0006.jpg,40,0,"shirt, blouse",97.0,162.0,336.0,400.0,"[316, 295, 136, 225, 147, 115, 145, 321]"
28,img_0006,data\raw\img_0006.jpg,44,5,vest,164.0,179.0,215.0,378.0,"[317, 316, 146, 295, 136, 225, 115, 145]"
29,img_0467,data\raw\img_0467.jpg,46,1,"top, t-shirt, sweatshirt",467.0,207.0,90.0,133.0,"[316, 317, 295, 135, 0, 147, 115, 145]"
30,img_0467,data\raw\img_0467.jpg,49,24,"bag, wallet",538.0,229.0,37.0,122.0,[]
31,img_0467,data\raw\img_0467.jpg,50,6,pants,452.0,330.0,147.0,226.0,"[316, 317, 38, 295, 135, 230, 154, 115]"
32,img_0467,data\raw\img_0467.jpg,51,18,watch,494.0,295.0,9.0,15.0,[]
33,img_0467,data\raw\img_0467.jpg,52,23,shoe,581.0,524.0,52.0,69.0,[]
34,img_0467,data\raw\img_0467.jpg,53,23,shoe,429.0,554.0,67.0,43.0,[]
35,img_0333,data\raw\img_0333.jpg,54,10,dress,74.0,182.0,507.0,693.0,"[316, 108, 295, 129, 229, 140, 155, 121, 325, 115]"
36,img_0762,data\raw\img_0762.jpg,58,23,shoe,217.0,826.0,44.0,132.0,[]
37,img_0762,data\raw\img_0762.jpg,59,23,shoe,262.0,936.0,58.0,71.0,[]
38,img_0762,data\raw\img_0762.jpg,60,6,pants,204.0,628.0,122.0,284.0,"[316, 317, 38, 295, 135, 154, 115]"
39,img_0762,data\raw\img_0762.jpg,61,10,dress,141.0,155.0,256.0,503.0,"[317, 312, 295, 127, 149, 101, 145, 115, 229]"
40,img_0948,data\raw\img_0948.jpg,67,14,hat,295.0,59.0,100.0,68.0,[]
41,img_0948,data\raw\img_0948.jpg,68,1,"top, t-shirt, sweatshirt",237.0,215.0,186.0,280.0,"[317, 295, 135, 301, 11, 147, 115, 145]"
42,img_0948,data\raw\img_0948.jpg,70,6,pants,237.0,457.0,185.0,426.0,"[317, 36, 295, 135, 298, 154, 115, 230, 297]"
43,img_0948,data\raw\img_0948.jpg,71,23,shoe,294.0,889.0,50.0,77.0,[]
44,img_0948,data\raw\img_0948.jpg,72,23,shoe,334.0,837.0,40.0,84.0,[]
45,img_0877,data\raw\img_0877.jpg,75,24,"bag, wallet",569.0,195.0,95.0,368.0,[]
46,img_0877,data\raw\img_0877.jpg,78,13,glasses,474.0,112.0,74.0,32.0,[]
47,img_0877,data\raw\img_0877.jpg,80,0,"shirt, blouse",478.0,163.0,99.0,239.0,"[317, 142, 295, 136, 225, 115]"
48,img_0877,data\raw\img_0877.jpg,81,3,cardigan,395.0,180.0,249.0,388.0,"[316, 317, 137, 283, 225, 149, 115, 145]"
49,img_0877,data\raw\img_0877.jpg,82,6,pants,342.0,398.0,256.0,552.0,"[295, 125, 230, 141, 44, 36, 317, 136, 298, 154, 115]"
50,img_0877,data\raw\img_0877.jpg,83,23,shoe,483.0,942.0,86.0,29.0,[]
51,img_0877,data\raw\img_0877.jpg,84,23,shoe,372.0,916.0,112.0,52.0,[]
52,img_0399,data\raw\img_0399.jpg,85,11,jumpsuit,170.0,240.0,258.0,345.0,"[316, 148, 317, 295, 135, 115, 141]"
53,img_0399,data\raw\img_0399.jpg,89,23,shoe,284.0,880.0,48.0,89.0,[]
54,img_0399,data\raw\img_0399.jpg,90,23,shoe,254.0,834.0,59.0,84.0,[]
55,img_0236,data\raw\img_0236.jpg,91,10,dress,522.0,122.0,340.0,364.0,"[317, 108, 119, 295, 153, 307, 115, 229, 141]"
56,img_0236,data\raw\img_0236.jpg,92,23,shoe,665.0,571.0,56.0,51.0,[]
57,img_0236,data\raw\img_0236.jpg,93,23,shoe,775.0,582.0,56.0,60.0,[]
58,img_0180,data\raw\img_0180.jpg,98,23,shoe,289.0,874.0,47.0,103.0,[]
59,img_0180,data\raw\img_0180.jpg,99,23,shoe,296.0,877.0,56.0,87.0,[]
60,img_0180,data\raw\img_0180.jpg,100,10,dress,217.0,169.0,263.0,466.0,"[317, 129, 301, 114, 149, 145, 282]"
61,img_0363,data\raw\img_0363.jpg,104,10,dress,116.0,273.0,582.0,749.0,"[316, 317, 108, 229, 295, 140, 155, 115, 128]"
62,img_0363,data\raw\img_0363.jpg,105,23,shoe,276.0,892.0,100.0,95.0,[]
63,img_0363,data\raw\img_0363.jpg,106,23,shoe,7.0,900.0,109.0,94.0,[]
64,img_0080,data\raw\img_0080.jpg,110,10,dress,152.0,189.0,289.0,318.0,"[312, 317, 295, 95, 147, 115, 145, 128]"
65,img_0080,data\raw\img_0080.jpg,111,23,shoe,307.0,882.0,47.0,82.0,[]
66,img_0080,data\raw\img_0080.jpg,112,23,shoe,325.0,812.0,42.0,92.0,[]
67,img_0613,data\raw\img_0613.jpg,113,10,dress,453.0,273.0,154.0,399.0,"[295, 95, 305, 141, 115, 130, 319, 229]"
68,img_0996,data\raw\img_0996.jpg,117,19,belt,300.0,337.0,118.0,17.0,[]
69,img_0996,data\raw\img_0996.jpg,118,10,dress,245.0,170.0,224.0,452.0,"[295, 305, 150, 141, 110, 115, 323, 128]"
70,img_0996,data\raw\img_0996.jpg,119,23,shoe,351.0,833.0,49.0,98.0,[]
71,img_0996,data\raw\img_0996.jpg,120,23,shoe,326.0,742.0,40.0,116.0,[]
72,img_0462,data\raw\img_0462.jpg,122,14,hat,457.0,54.0,137.0,149.0,[]
73,img_0462,data\raw\img_0462.jpg,125,1,"top, t-shirt, sweatshirt",388.0,207.0,292.0,466.0,"[317, 137, 316, 146, 295, 0, 115, 145]"
74,img_0460,data\raw\img_0460.jpg,126,1,"top, t-shirt, sweatshirt",624.0,356.0,118.0,315.0,"[316, 318, 142, 295, 135, 147, 115]"
