query,image_id,relevance
A blue shirt with black pants,img_0010,1
A blue shirt with black pants,img_0027,1
A blue shirt with black pants,img_0035,1
A blue shirt with black pants,img_0110,1
A blue shirt with black pants,img_0135,0
A blue shirt with black pants,img_0169,1
A blue shirt with black pants,img_0197,2
A blue shirt with black pants,img_0241,1
A blue shirt with black pants,img_0342,1
A blue shirt with black pants,img_0444,0
A blue shirt with black pants,img_0572,2
A blue shirt with black pants,img_0679,1
A blue shirt with black pants,img_0813,1
A blue shirt with black pants,img_0930,1
A formal blazer outfit,img_0095,2
A formal blazer outfit,img_0152,2
A formal blazer outfit,img_0187,2
A formal blazer outfit,img_0394,2
A formal blazer outfit,img_0493,2
A formal blazer outfit,img_0615,1
A formal blazer outfit,img_0731,2
A formal blazer outfit,img_0813,2
A formal blazer outfit,img_0920,2
A formal blazer outfit,img_0966,2
A person in a blue jacket,img_0115,2
A person in a blue jacket,img_0381,2
A person in a blue jacket,img_0393,0
A person in a blue jacket,img_0572,1
A person in a blue jacket,img_0579,2
A person in a blue jacket,img_0583,2
A person in a blue jacket,img_0725,2
A person in a blue jacket,img_0813,1
A person in a blue jacket,img_0875,2
A person in a blue jacket,img_0892,1
A person in a blue jacket,img_0906,2
A person in a blue jacket,img_0958,2
A person in a bright yellow raincoat,img_0133,0
A person in a bright yellow raincoat,img_0238,2
A person in a bright yellow raincoat,img_0269,1
A person in a bright yellow raincoat,img_0315,0
A person in a bright yellow raincoat,img_0554,1
A person in a bright yellow raincoat,img_0647,0
A person in a bright yellow raincoat,img_0821,1
A person in a bright yellow raincoat,img_0884,1
A person in a bright yellow raincoat,img_0928,1
A person in a bright yellow raincoat,img_0946,0
A person in a bright yellow raincoat,img_0985,1
A person wearing a black dress,img_0037,2
A person wearing a black dress,img_0144,2
A person wearing a black dress,img_0249,2
A person wearing a black dress,img_0280,2
A person wearing a black dress,img_0375,2
A person wearing a black dress,img_0469,2
A person wearing a black dress,img_0487,2
A person wearing a black dress,img_0648,2
A person wearing a black dress,img_0729,2
A person wearing a black dress,img_0735,2
A person wearing a black dress,img_0806,2
A person wearing a black dress,img_0834,2
A person wearing a black dress,img_0950,2
A person wearing a red shirt,img_0025,2
A person wearing a red shirt,img_0240,2
A person wearing a red shirt,img_0285,2
A person wearing a red shirt,img_0286,2
A person wearing a red shirt,img_0425,1
A person wearing a red shirt,img_0585,1
A person wearing a red shirt,img_0655,1
A person wearing a red shirt,img_0799,1
A person wearing a red shirt,img_0912,2
A person wearing a red shirt,img_0934,2
A person wearing a yellow coat,img_0185,2
A person wearing a yellow coat,img_0238,2
A person wearing a yellow coat,img_0297,0
A person wearing a yellow coat,img_0315,0
A person wearing a yellow coat,img_0478,1
A person wearing a yellow coat,img_0540,0
A person wearing a yellow coat,img_0554,2
A person wearing a yellow coat,img_0586,0
A person wearing a yellow coat,img_0600,1
A person wearing a yellow coat,img_0701,0
A person wearing a yellow coat,img_0884,2
A person wearing a yellow coat,img_0927,0
A person wearing a yellow coat,img_0928,1
A person wearing a yellow coat,img_0946,0
A red tie and a white shirt in a formal setting,img_0123,1
A red tie and a white shirt in a formal setting,img_0446,1
A red tie and a white shirt in a formal setting,img_0493,0
A red tie and a white shirt in a formal setting,img_0543,0
A red tie and a white shirt in a formal setting,img_0548,0
A red tie and a white shirt in a formal setting,img_0679,1
A red tie and a white shirt in a formal setting,img_0731,1
A red tie and a white shirt in a formal setting,img_0787,1
A red tie and a white shirt in a formal setting,img_0920,1
A red tie and a white shirt in a formal setting,img_0947,1
A red tie and a white shirt in a formal setting,img_0966,1
A red tie and a white shirt in a formal setting,img_0968,1
