image_id,image_path,fashionpedia_image_id,original_filename,width,height,split
img_0000,data\raw\img_0000.jpg,19817,28772cc5485a105f5bf8bfafedfc66b6.jpg,683,1024,validation
img_0001,data\raw\img_0001.jpg,20328,1ca6fb4b937bb1f34797d3315266a546.jpg,1024,682,validation
img_0002,data\raw\img_0002.jpg,16820,5b119f366a58e6706b6c721fb0c52d9d.jpg,682,1024,validation
img_0003,data\raw\img_0003.jpg,17769,1918cddd5d05e007637c1b635eb683f5.jpg,678,1024,validation
img_0004,data\raw\img_0004.jpg,18949,9f2b43ca80f1efb145dc87cb63efbb85.jpg,678,1024,validation
img_0005,data\raw\img_0005.jpg,15823,053888747fe4d05e64411e7454b10881.jpg,1024,682,validation
img_0006,data\raw\img_0006.jpg,15069,d67ad10df9224b51361c9dfb18f5a9ef.jpg,632,1024,validation
img_0007,data\raw\img_0007.jpg,9507,c4e7ac9027ce6e052eb110b1281a8638.jpg,441,1024,validation
img_0008,data\raw\img_0008.jpg,11372,ff62c585aa0fd3f69a17717015e80fb6.jpg,680,1024,validation
img_0009,data\raw\img_0009.jpg,9914,46c1433283e5cfba916f741bc681b99b.jpg,683,1024,validation
img_0010,data\raw\img_0010.jpg,12524,db26dd4ab74b3f12041cc72ff6acb60d.jpg,682,1024,validation
img_0011,data\raw\img_0011.jpg,20542,fb24ea2a89e0ec6dc4b093ccbb2fc743.jpg,681,1024,validation
img_0012,data\raw\img_0012.jpg,9411,563c45745e1775a74e3a5b2513079b9d.jpg,609,1024,validation
img_0013,data\raw\img_0013.jpg,20250,cfe1c4de7beeb5eef7cdc05e8be73d57.jpg,682,1024,validation
img_0014,data\raw\img_0014.jpg,17329,bba3aec79e766cc1375de76bbe6493bb.jpg,1024,576,validation
img_0015,data\raw\img_0015.jpg,20180,c650f80f25497fb2b0f1231d1e487878.jpg,768,1024,validation
img_0016,data\raw\img_0016.jpg,15949,85aa83033214755fefff61b7615c7a48.jpg,681,1024,validation
img_0017,data\raw\img_0017.jpg,16010,50e763ae42f2872db7567e607005d3b1.jpg,1024,819,validation
img_0018,data\raw\img_0018.jpg,9465,3af3a8c1e0581011f46326d3b837a53d.jpg,683,1024,validation
img_0019,data\raw\img_0019.jpg,14700,e712b9ad744015f1208a2b6eee27afcf.jpg,683,1024,validation
img_0020,data\raw\img_0020.jpg,11765,dcbdac96042c96e1fcd4f5e344c3ea43.jpg,682,1024,validation
img_0021,data\raw\img_0021.jpg,15860,4dfb4420e88d33d4d1fe455ad77d7901.jpg,682,1024,validation
