query,category,rank,image_id,image_path,final_score
A person in a bright yellow raincoat,garment,1,img_0238,data\raw\img_0238.jpg,0.9728755780628748
A person in a bright yellow raincoat,garment,2,img_0554,data\raw\img_0554.jpg,0.9592060574463435
A person in a bright yellow raincoat,garment,3,img_0821,data\raw\img_0821.jpg,0.7761548587254115
A person in a bright yellow raincoat,garment,4,img_0884,data\raw\img_0884.jpg,0.7587375172546931
A person in a bright yellow raincoat,garment,5,img_0133,data\raw\img_0133.jpg,0.7223412969282694
Someone wearing a blue shirt sitting on a park bench,compositional,1,img_0104,data\raw\img_0104.jpg,0.9137337312978857
Someone wearing a blue shirt sitting on a park bench,compositional,2,img_0639,data\raw\img_0639.jpg,0.8720241294187658
Someone wearing a blue shirt sitting on a park bench,compositional,3,img_0284,data\raw\img_0284.jpg,0.8692505613845938
Someone wearing a blue shirt sitting on a park bench,compositional,4,img_0803,data\raw\img_0803.jpg,0.8478535369915121
Someone wearing a blue shirt sitting on a park bench,compositional,5,img_0253,data\raw\img_0253.jpg,0.8373836533111685
Casual weekend outfit for a city walk,style_context,1,img_0376,data\raw\img_0376.jpg,0.8811126202344894
Casual weekend outfit for a city walk,style_context,2,img_0689,data\raw\img_0689.jpg,0.7827949970960617
Casual weekend outfit for a city walk,style_context,3,img_0994,data\raw\img_0994.jpg,0.7736077755689621
Casual weekend outfit for a city walk,style_context,4,img_0241,data\raw\img_0241.jpg,0.7718847095966339
Casual weekend outfit for a city walk,style_context,5,img_0031,data\raw\img_0031.jpg,0.7397066652774811
Professional business attire inside a modern office,style_context,1,img_0095,data\raw\img_0095.jpg,0.9048003554344177
Professional business attire inside a modern office,style_context,2,img_0187,data\raw\img_0187.jpg,0.9033544659614563
Professional business attire inside a modern office,style_context,3,img_0088,data\raw\img_0088.jpg,0.8645001351833344
Professional business attire inside a modern office,style_context,4,img_0966,data\raw\img_0966.jpg,0.7782074213027954
Professional business attire inside a modern office,style_context,5,img_0394,data\raw\img_0394.jpg,0.7597077041864395
A red tie and a white shirt in a formal setting,compositional,1,img_0679,data\raw\img_0679.jpg,0.971525481656978
A red tie and a white shirt in a formal setting,compositional,2,img_0920,data\raw\img_0920.jpg,0.6055737988729226
A red tie and a white shirt in a formal setting,compositional,3,img_0947,data\raw\img_0947.jpg,0.5754803823013055
A red tie and a white shirt in a formal setting,compositional,4,img_0543,data\raw\img_0543.jpg,0.5708004416603791
A red tie and a white shirt in a formal setting,compositional,5,img_0731,data\raw\img_0731.jpg,0.5696764843244302
A person wearing a black dress,garment,1,img_0834,data\raw\img_0834.jpg,0.9943026133946009
A person wearing a black dress,garment,2,img_0729,data\raw\img_0729.jpg,0.9610496887138911
A person wearing a black dress,garment,3,img_0249,data\raw\img_0249.jpg,0.9500292369297572
A person wearing a black dress,garment,4,img_0469,data\raw\img_0469.jpg,0.9423447975090571
A person wearing a black dress,garment,5,img_0487,data\raw\img_0487.jpg,0.9371869691780634
Someone wearing a white shirt,garment,1,img_0446,data\raw\img_0446.jpg,0.9892368444374628
Someone wearing a white shirt,garment,2,img_0009,data\raw\img_0009.jpg,0.9733072349003382
Someone wearing a white shirt,garment,3,img_0477,data\raw\img_0477.jpg,0.9372503587177821
