image_id,image_path,fashionpedia_image_id,annotation_id,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,attribute_ids
img_0671,data\raw\img_0671.jpg,17039,0,31,sleeve,391.0,460.0,75.0,193.0,"[160, 204]"
img_0671,data\raw\img_0671.jpg,17039,1,31,sleeve,583.0,452.0,50.0,228.0,"[160, 204]"
img_0671,data\raw\img_0671.jpg,17039,2,9,coat,392.0,407.0,241.0,274.0,"[229, 295, 136, 137, 80, 145, 115, 85, 311, 317]"
img_0671,data\raw\img_0671.jpg,17039,3,25,scarf,460.0,389.0,136.0,109.0,[]
img_0671,data\raw\img_0671.jpg,17039,4,27,hood,442.0,407.0,166.0,51.0,[]
img_0671,data\raw\img_0671.jpg,17039,5,24,"bag, wallet",439.0,449.0,156.0,145.0,[]
img_0671,data\raw\img_0671.jpg,17039,6,17,glove,442.0,618.0,50.0,55.0,[]
img_0671,data\raw\img_0671.jpg,17039,7,17,glove,584.0,674.0,30.0,7.0,[]
img_0671,data\raw\img_0671.jpg,17039,8,35,zipper,470.0,480.0,101.0,63.0,[]
img_0671,data\raw\img_0671.jpg,17039,9,14,hat,476.0,349.0,82.0,50.0,[]
img_0463,data\raw\img_0463.jpg,17370,10,31,sleeve,75.0,281.0,55.0,264.0,"[160, 205]"
img_0463,data\raw\img_0463.jpg,17370,11,9,coat,58.0,183.0,323.0,632.0,"[317, 86, 136, 153, 311, 289, 115, 145]"
img_0463,data\raw\img_0463.jpg,17370,12,31,sleeve,290.0,239.0,73.0,313.0,"[160, 205]"
img_0463,data\raw\img_0463.jpg,17370,13,33,neckline,232.0,250.0,9.0,10.0,[188]
img_0463,data\raw\img_0463.jpg,17370,14,11,jumpsuit,164.0,250.0,127.0,653.0,"[316, 295, 155, 127, 115, 326, 141]"
img_0463,data\raw\img_0463.jpg,17370,15,23,shoe,212.0,909.0,42.0,45.0,[]
img_0463,data\raw\img_0463.jpg,17370,16,23,shoe,249.0,862.0,35.0,53.0,[]
img_0701,data\raw\img_0701.jpg,20712,17,31,sleeve,420.0,178.0,83.0,236.0,"[205, 159]"
img_0701,data\raw\img_0701.jpg,20712,18,31,sleeve,138.0,187.0,68.0,255.0,"[205, 159]"
img_0701,data\raw\img_0701.jpg,20712,19,29,lapel,217.0,144.0,199.0,104.0,[178]
img_0701,data\raw\img_0701.jpg,20712,20,17,glove,335.0,361.0,82.0,47.0,[]
img_0701,data\raw\img_0701.jpg,20712,21,17,glove,134.0,433.0,49.0,83.0,[]
img_0701,data\raw\img_0701.jpg,20712,22,6,pants,228.0,444.0,185.0,476.0,"[316, 317, 142, 38, 135, 230, 154, 115]"
img_0701,data\raw\img_0701.jpg,20712,23,9,coat,138.0,144.0,365.0,612.0,"[316, 317, 137, 152, 295, 115, 145]"
img_0701,data\raw\img_0701.jpg,20712,24,24,"bag, wallet",352.0,275.0,84.0,100.0,[]
img_0701,data\raw\img_0701.jpg,20712,25,1,"top, t-shirt, sweatshirt",259.0,307.0,197.0,141.0,"[317, 146, 295, 136, 115]"
img_0701,data\raw\img_0701.jpg,20712,26,31,sleeve,411.0,350.0,45.0,57.0,[160]
img_0701,data\raw\img_0701.jpg,20712,27,13,glasses,329.0,55.0,71.0,39.0,[]
img_0701,data\raw\img_0701.jpg,20712,28,23,shoe,373.0,852.0,64.0,117.0,[]
img_0701,data\raw\img_0701.jpg,20712,29,22,sock,373.0,847.0,53.0,111.0,[]
img_0701,data\raw\img_0701.jpg,20712,30,23,shoe,252.0,907.0,60.0,106.0,[]
img_0701,data\raw\img_0701.jpg,20712,31,22,sock,253.0,906.0,67.0,95.0,[]
img_0565,data\raw\img_0565.jpg,14983,32,8,skirt,93.0,389.0,473.0,631.0,"[316, 317, 295, 120, 155, 115, 229, 141]"
img_0565,data\raw\img_0565.jpg,14983,33,31,sleeve,224.0,266.0,120.0,266.0,"[160, 204]"
img_0565,data\raw\img_0565.jpg,14983,34,31,sleeve,519.0,213.0,162.0,194.0,"[160, 204]"
img_0565,data\raw\img_0565.jpg,14983,35,1,"top, t-shirt, sweatshirt",224.0,213.0,457.0,319.0,"[316, 146, 142, 295, 135, 325, 115]"
img_0565,data\raw\img_0565.jpg,14983,36,15,"headband, head covering, hair accessory",224.0,23.0,428.0,435.0,[]
img_0006,data\raw\img_0006.jpg,15069,37,23,shoe,210.0,907.0,65.0,68.0,[]
img_0006,data\raw\img_0006.jpg,15069,38,23,shoe,276.0,796.0,58.0,133.0,[]
img_0006,data\raw\img_0006.jpg,15069,39,6,pants,170.0,529.0,214.0,389.0,"[131, 317, 137, 316, 295, 46, 154, 115]"
img_0006,data\raw\img_0006.jpg,15069,40,0,"shirt, blouse",97.0,162.0,336.0,400.0,"[316, 295, 136, 225, 147, 115, 145, 321]"
img_0006,data\raw\img_0006.jpg,15069,41,31,sleeve,359.0,197.0,74.0,328.0,"[160, 212]"
img_0006,data\raw\img_0006.jpg,15069,42,31,sleeve,97.0,220.0,82.0,330.0,"[160, 212]"
img_0006,data\raw\img_0006.jpg,15069,43,28,collar,199.0,162.0,129.0,71.0,[163]
img_0006,data\raw\img_0006.jpg,15069,44,5,vest,164.0,179.0,215.0,378.0,"[317, 316, 146, 295, 136, 225, 115, 145]"
img_0006,data\raw\img_0006.jpg,15069,45,29,lapel,197.0,205.0,136.0,127.0,[174]
img_0467,data\raw\img_0467.jpg,15073,46,1,"top, t-shirt, sweatshirt",467.0,207.0,90.0,133.0,"[316, 317, 295, 135, 0, 147, 115, 145]"
img_0467,data\raw\img_0467.jpg,15073,47,31,sleeve,501.0,208.0,43.0,54.0,"[204, 157]"
img_0467,data\raw\img_0467.jpg,15073,48,33,neckline,470.0,210.0,11.0,24.0,[]
img_0467,data\raw\img_0467.jpg,15073,49,24,"bag, wallet",538.0,229.0,37.0,122.0,[]
img_0467,data\raw\img_0467.jpg,15073,50,6,pants,452.0,330.0,147.0,226.0,"[316, 317, 38, 295, 135, 230, 154, 115]"
img_0467,data\raw\img_0467.jpg,15073,51,18,watch,494.0,295.0,9.0,15.0,[]
img_0467,data\raw\img_0467.jpg,15073,52,23,shoe,581.0,524.0,52.0,69.0,[]
img_0467,data\raw\img_0467.jpg,15073,53,23,shoe,429.0,554.0,67.0,43.0,[]
img_0333,data\raw\img_0333.jpg,15076,54,10,dress,74.0,182.0,507.0,693.0,"[316, 108, 295, 129, 229, 140, 155, 121, 325, 115]"
img_0333,data\raw\img_0333.jpg,15076,55,43,ruffle,74.0,738.0,507.0,137.0,[]
img_0333,data\raw\img_0333.jpg,15076,56,31,sleeve,205.0,200.0,63.0,241.0,"[160, 204]"
img_0333,data\raw\img_0333.jpg,15076,57,31,sleeve,388.0,200.0,56.0,245.0,"[160, 204]"
img_0762,data\raw\img_0762.jpg,15089,58,23,shoe,217.0,826.0,44.0,132.0,[]
img_0762,data\raw\img_0762.jpg,15089,59,23,shoe,262.0,936.0,58.0,71.0,[]
img_0762,data\raw\img_0762.jpg,15089,60,6,pants,204.0,628.0,122.0,284.0,"[316, 317, 38, 295, 135, 154, 115]"
img_0762,data\raw\img_0762.jpg,15089,61,10,dress,141.0,155.0,256.0,503.0,"[317, 312, 295, 127, 149, 101, 145, 115, 229]"
img_0762,data\raw\img_0762.jpg,15089,62,35,zipper,268.0,183.0,11.0,330.0,[]
img_0762,data\raw\img_0762.jpg,15089,63,35,zipper,264.0,625.0,4.0,23.0,[]
img_0762,data\raw\img_0762.jpg,15089,64,33,neckline,227.0,155.0,87.0,51.0,[198]
img_0762,data\raw\img_0762.jpg,15089,65,31,sleeve,341.0,204.0,56.0,338.0,"[160, 204]"
img_0762,data\raw\img_0762.jpg,15089,66,31,sleeve,141.0,213.0,66.0,342.0,"[160, 204]"
img_0948,data\raw\img_0948.jpg,15097,67,14,hat,295.0,59.0,100.0,68.0,[]
img_0948,data\raw\img_0948.jpg,15097,68,1,"top, t-shirt, sweatshirt",237.0,215.0,186.0,280.0,"[317, 295, 135, 301, 11, 147, 115, 145]"
img_0948,data\raw\img_0948.jpg,15097,69,33,neckline,309.0,215.0,63.0,49.0,[185]
img_0948,data\raw\img_0948.jpg,15097,70,6,pants,237.0,457.0,185.0,426.0,"[317, 36, 295, 135, 298, 154, 115, 230, 297]"
img_0948,data\raw\img_0948.jpg,15097,71,23,shoe,294.0,889.0,50.0,77.0,[]
img_0948,data\raw\img_0948.jpg,15097,72,23,shoe,334.0,837.0,40.0,84.0,[]
img_0877,data\raw\img_0877.jpg,15106,73,32,pocket,514.0,465.0,63.0,67.0,[218]
img_0877,data\raw\img_0877.jpg,15106,74,32,pocket,403.0,478.0,61.0,47.0,[218]
img_0877,data\raw\img_0877.jpg,15106,75,24,"bag, wallet",569.0,195.0,95.0,368.0,[]
img_0877,data\raw\img_0877.jpg,15106,76,31,sleeve,560.0,216.0,84.0,232.0,"[160, 204]"
img_0877,data\raw\img_0877.jpg,15106,77,31,sleeve,404.0,209.0,46.0,255.0,"[160, 204]"
img_0877,data\raw\img_0877.jpg,15106,78,13,glasses,474.0,112.0,74.0,32.0,[]
img_0877,data\raw\img_0877.jpg,15106,79,28,collar,511.0,163.0,65.0,46.0,[166]
img_0877,data\raw\img_0877.jpg,15106,80,0,"shirt, blouse",478.0,163.0,99.0,239.0,"[317, 142, 295, 136, 225, 115]"
img_0877,data\raw\img_0877.jpg,15106,81,3,cardigan,395.0,180.0,249.0,388.0,"[316, 317, 137, 283, 225, 149, 115, 145]"
img_0877,data\raw\img_0877.jpg,15106,82,6,pants,342.0,398.0,256.0,552.0,"[295, 125, 230, 141, 44, 36, 317, 136, 298, 154, 115]"
img_0877,data\raw\img_0877.jpg,15106,83,23,shoe,483.0,942.0,86.0,29.0,[]
img_0877,data\raw\img_0877.jpg,15106,84,23,shoe,372.0,916.0,112.0,52.0,[]
img_0399,data\raw\img_0399.jpg,15108,85,11,jumpsuit,170.0,240.0,258.0,345.0,"[316, 148, 317, 295, 135, 115, 141]"
img_0399,data\raw\img_0399.jpg,15108,86,31,sleeve,370.0,274.0,58.0,275.0,"[160, 204]"
img_0399,data\raw\img_0399.jpg,15108,87,31,sleeve,170.0,279.0,63.0,275.0,"[160, 204]"
img_0399,data\raw\img_0399.jpg,15108,88,29,lapel,240.0,240.0,109.0,147.0,[176]
img_0399,data\raw\img_0399.jpg,15108,89,23,shoe,284.0,880.0,48.0,89.0,[]
img_0399,data\raw\img_0399.jpg,15108,90,23,shoe,254.0,834.0,59.0,84.0,[]
img_0236,data\raw\img_0236.jpg,15112,91,10,dress,522.0,122.0,340.0,364.0,"[317, 108, 119, 295, 153, 307, 115, 229, 141]"
img_0236,data\raw\img_0236.jpg,15112,92,23,shoe,665.0,571.0,56.0,51.0,[]
img_0236,data\raw\img_0236.jpg,15112,93,23,shoe,775.0,582.0,56.0,60.0,[]
img_0236,data\raw\img_0236.jpg,15112,94,33,neckline,701.0,122.0,29.0,41.0,[191]
img_0236,data\raw\img_0236.jpg,15112,95,43,ruffle,522.0,235.0,340.0,251.0,[]
img_0180,data\raw\img_0180.jpg,15125,96,33,neckline,250.0,169.0,110.0,120.0,[203]
img_0180,data\raw\img_0180.jpg,15125,97,31,sleeve,393.0,211.0,87.0,361.0,"[160, 211]"
img_0180,data\raw\img_0180.jpg,15125,98,23,shoe,289.0,874.0,47.0,103.0,[]
img_0180,data\raw\img_0180.jpg,15125,99,23,shoe,296.0,877.0,56.0,87.0,[]
