query_id,query,category,status,num_labeled,num_expected,precision_at_5,average_precision,ndcg_at_5
1,A person in a bright yellow raincoat,garment,complete,5,5,0.8,1.0,1.0
2,Someone wearing a blue shirt sitting on a park bench,compositional,complete,5,5,0.8,0.8041666666666667,0.8893127636718536
3,Casual weekend outfit for a city walk,style_context,complete,5,5,1.0,1.0,0.9322978750325865
4,Professional business attire inside a modern office,style_context,complete,5,5,0.8,0.8875,0.9558295932317544
5,A red tie and a white shirt in a formal setting,compositional,complete,5,5,0.8,0.95,0.9828920819566879
6,A person wearing a black dress,garment,complete,5,5,1.0,1.0,1.0
7,Someone wearing a white shirt,garment,complete,5,5,1.0,1.0,1.0
8,A person in a blue jacket,garment,complete,5,5,0.8,0.8041666666666667,0.9131210744214262
9,Casual outfit in an urban street,style_context,complete,5,5,1.0,1.0,1.0
10,Someone sitting in a green park,context,complete,5,5,1.0,1.0,1.0
11,A formal blazer outfit,style,complete,5,5,1.0,1.0,1.0
12,A person wearing a yellow coat,garment,complete,5,5,1.0,1.0,1.0
13,A person wearing a red shirt,garment,complete,5,5,1.0,1.0,1.0
14,A blue shirt with black pants,compositional,complete,5,5,1.0,1.0,1.0
15,A white shirt with a tie,compositional,complete,5,5,1.0,1.0,0.774487192150212
