query,image_id,relevance
A person in a blue jacket,img_0958,2
Casual outfit in an urban street,img_0388,2
A person in a bright yellow raincoat,img_0928,1
A person wearing a yellow coat,img_0701,0
A person wearing a yellow coat,img_0540,0
A blue shirt with black pants,img_0813,1
A blue shirt with black pants,img_0444,0
A blue shirt with black pants,img_0035,1
A person wearing a black dress,img_0037,2
A blue shirt with black pants,img_0169,1
A person wearing a yellow coat,img_0185,2
Someone sitting in a green park,img_0225,2
A person wearing a red shirt,img_0240,2
Someone wearing a blue shirt sitting on a park bench,img_0257,1
A person in a bright yellow raincoat,img_0269,1
A person wearing a black dress,img_0280,2
Professional business attire inside a modern office,img_0296,1
A person wearing a yellow coat,img_0297,0
Casual outfit in an urban street,img_0359,2
A white shirt with a tie,img_0428,1
Someone wearing a white shirt,img_0428,2
Someone wearing a blue shirt sitting on a park bench,img_0455,1
A formal blazer outfit,img_0493,2
Professional business attire inside a modern office,img_0493,1
Someone sitting in a green park,img_0556,2
Casual weekend outfit for a city walk,img_0572,2
A person wearing a black dress,img_0648,2
Professional business attire inside a modern office,img_0648,1
A white shirt with a tie,img_0731,1
Someone wearing a blue shirt sitting on a park bench,img_0773,1
A red tie and a white shirt in a formal setting,img_0787,1
Someone sitting in a green park,img_0803,2
Casual outfit in an urban street,img_0807,2
Casual weekend outfit for a city walk,img_0807,2
A formal blazer outfit,img_0813,2
A person in a blue jacket,img_0813,1
Casual weekend outfit for a city walk,img_0840,2
Casual weekend outfit for a city walk,img_0847,2
Someone wearing a blue shirt sitting on a park bench,img_0885,1
A person in a blue jacket,img_0892,1
A formal blazer outfit,img_0920,2
A person in a bright yellow raincoat,img_0946,0
A person wearing a black dress,img_0950,2
A person in a bright yellow raincoat,img_0985,1
A person wearing a yellow coat,img_0586,0
