query,category,rank,image_id,image_path,final_score
A person in a bright yellow raincoat,garment,1,img_0554,data\raw\img_0554.jpg,0.9289836415222712
A person in a bright yellow raincoat,garment,2,img_0238,data\raw\img_0238.jpg,0.9205848404339381
A person in a bright yellow raincoat,garment,3,img_0985,data\raw\img_0985.jpg,0.6694448568991251
A person in a bright yellow raincoat,garment,4,img_0946,data\raw\img_0946.jpg,0.6586690970829554
A person in a bright yellow raincoat,garment,5,img_0269,data\raw\img_0269.jpg,0.6583423742226191
Someone wearing a blue shirt sitting on a park bench,compositional,1,img_0104,data\raw\img_0104.jpg,0.8826563165468329
Someone wearing a blue shirt sitting on a park bench,compositional,2,img_0257,data\raw\img_0257.jpg,0.8515573994201773
Someone wearing a blue shirt sitting on a park bench,compositional,3,img_0455,data\raw\img_0455.jpg,0.8321236700696104
Someone wearing a blue shirt sitting on a park bench,compositional,4,img_0885,data\raw\img_0885.jpg,0.8295356065911406
Someone wearing a blue shirt sitting on a park bench,compositional,5,img_0284,data\raw\img_0284.jpg,0.7935144708437079
Casual weekend outfit for a city walk,style_context,1,img_0847,data\raw\img_0847.jpg,0.8826629370450974
Casual weekend outfit for a city walk,style_context,2,img_0840,data\raw\img_0840.jpg,0.8318738043308258
Casual weekend outfit for a city walk,style_context,3,img_0807,data\raw\img_0807.jpg,0.8253645300865173
Casual weekend outfit for a city walk,style_context,4,img_0572,data\raw\img_0572.jpg,0.8216953575611115
Casual weekend outfit for a city walk,style_context,5,img_0376,data\raw\img_0376.jpg,0.8129230439662933
Professional business attire inside a modern office,style_context,1,img_0966,data\raw\img_0966.jpg,0.8202880769968033
Professional business attire inside a modern office,style_context,2,img_0493,data\raw\img_0493.jpg,0.8129408359527588
Professional business attire inside a modern office,style_context,3,img_0648,data\raw\img_0648.jpg,0.7615208625793457
Professional business attire inside a modern office,style_context,4,img_0296,data\raw\img_0296.jpg,0.7146451026201248
Professional business attire inside a modern office,style_context,5,img_0113,data\raw\img_0113.jpg,0.6848114281892776
A red tie and a white shirt in a formal setting,compositional,1,img_0968,data\raw\img_0968.jpg,0.6950753958601701
A red tie and a white shirt in a formal setting,compositional,2,img_0731,data\raw\img_0731.jpg,0.692676726140474
A red tie and a white shirt in a formal setting,compositional,3,img_0787,data\raw\img_0787.jpg,0.6760066928047883
