query_id,query,category,rank,image_id,image_path,clip_score,relevance
1,A person in a bright yellow raincoat,garment,1,img_0238,data\raw\img_0238.jpg,0.3354595899581909,2.0
1,A person in a bright yellow raincoat,garment,2,img_0554,data\raw\img_0554.jpg,0.292836993932724,1.0
1,A person in a bright yellow raincoat,garment,3,img_0315,data\raw\img_0315.jpg,0.2528139054775238,0.0
1,A person in a bright yellow raincoat,garment,4,img_0647,data\raw\img_0647.jpg,0.248619794845581,0.0
1,A person in a bright yellow raincoat,garment,5,img_0133,data\raw\img_0133.jpg,0.2345647811889648,0.0
2,Someone wearing a blue shirt sitting on a park bench,compositional,1,img_0803,data\raw\img_0803.jpg,0.2871263325214386,2.0
2,Someone wearing a blue shirt sitting on a park bench,compositional,2,img_0104,data\raw\img_0104.jpg,0.2816767394542694,2.0
2,Someone wearing a blue shirt sitting on a park bench,compositional,3,img_0542,data\raw\img_0542.jpg,0.2635421454906463,0.0
2,Someone wearing a blue shirt sitting on a park bench,compositional,4,img_0424,data\raw\img_0424.jpg,0.2575893998146057,1.0
2,Someone wearing a blue shirt sitting on a park bench,compositional,5,img_0253,data\raw\img_0253.jpg,0.2552060484886169,1.0
3,Casual weekend outfit for a city walk,style_context,1,img_0376,data\raw\img_0376.jpg,0.3030188977718353,2.0
3,Casual weekend outfit for a city walk,style_context,2,img_0110,data\raw\img_0110.jpg,0.3003944456577301,2.0
3,Casual weekend outfit for a city walk,style_context,3,img_0689,data\raw\img_0689.jpg,0.2989282310009002,1.0
3,Casual weekend outfit for a city walk,style_context,4,img_0241,data\raw\img_0241.jpg,0.2904521226882934,1.0
3,Casual weekend outfit for a city walk,style_context,5,img_0693,data\raw\img_0693.jpg,0.2857711911201477,1.0
4,Professional business attire inside a modern office,style_context,1,img_0113,data\raw\img_0113.jpg,0.2515324056148529,2.0
4,Professional business attire inside a modern office,style_context,2,img_0187,data\raw\img_0187.jpg,0.2480776309967041,1.0
4,Professional business attire inside a modern office,style_context,3,img_0966,data\raw\img_0966.jpg,0.2452454566955566,1.0
